Pergunta,Resposta,LGPD
O que é necessário para a transferência internacional de dados?,"Para a transferência internacional de dados, a LGPD exige que o país ou a organização internacional para o qual os dados serão transferidos tenham um nível de proteção de dados pessoais adequado ao previsto na LGPD ou que o controlador ofereça garantias suficientes de cumprimento dos princípios, direitos do titular e regime de proteção de dados, por meio de cláusulas contratuais específicas, normas corporativas globais, selos, certificados e códigos de conduta.",1
Como deve ser feito o relatório de impacto à proteção de dados pessoais?,"O relatório de impacto à proteção de dados pessoais, exigido pela LGPD em certas circunstâncias, deve documentar os processos de tratamento de dados que possam acarretar riscos aos direitos e liberdades civis fundamentais, bem como medidas, salvaguardas e mecanismos de mitigação de risco adotados pelo controlador.",1
O que é um banco de dados relacional?,Um banco de dados relacional é um tipo de banco de dados que organiza os dados em tabelas relacionadas entre si por chaves estrangeiras. Ele utiliza a linguagem SQL (Structured Query Language) para manipular e consultar os dados.,0
Qual é a diferença entre uma chave primária e uma chave estrangeira em um banco de dados relacional?,"Uma chave primária é uma coluna ou conjunto de colunas que identifica exclusivamente cada registro em uma tabela, enquanto uma chave estrangeira é uma coluna que estabelece uma relação entre duas tabelas, referenciando a chave primária de outra tabela.",0
Qual a diferença entre controlador e operador de dados na LGPD?,"Na LGPD, o controlador é a pessoa física ou jurídica que toma as decisões referentes ao tratamento de dados pessoais, incluindo as finalidades e os meios de tratamento. Já o operador é a pessoa física ou jurídica que realiza o tratamento de dados pessoais em nome do controlador, seguindo suas instruções.",1
O que significa tratamento de dados pessoais?,"Tratamento de dados pessoais é qualquer operação realizada com dados pessoais, como a coleta, produção, recepção, classificação, utilização, acesso, reprodução, transmissão, distribuição, processamento, arquivamento, armazenamento, eliminação, avaliação ou controle da informação, modificação, comunicação, transferência, difusão ou extração.",1
O que é a programação funcional?,A programação funcional é um paradigma de programação que trata a computação como uma avaliação de funções matemáticas e evita o estado e a mutação de dados. Ela enfatiza a imutabilidade e o uso de funções de ordem superior.,0
Quais são as vantagens de usar a virtualização em servidores?,"A virtualização permite que um único servidor físico execute múltiplas máquinas virtuais, cada uma isolada das outras. Isso aumenta a eficiência do hardware, simplifica a implantação e o gerenciamento de servidores e melhora a flexibilidade e escalabilidade do ambiente de TI.",0
O que é a arquitetura cliente-servidor?,"A arquitetura cliente-servidor é um modelo de computação distribuída em que as funções são divididas entre os dispositivos clientes, que solicitam serviços, e os servidores, que fornecem esses serviços.",0
Como a LGPD afeta o armazenamento de dados em nuvem?,"A LGPD afeta o armazenamento de dados em nuvem ao exigir que tanto os controladores quanto os operadores que oferecem esse tipo de serviço adotem medidas técnicas e administrativas aptas a proteger os dados pessoais de acessos não autorizados e de situações acidentais ou ilícitas de destruição, perda, alteração, comunicação ou qualquer forma de tratamento inadequado.",1
Existe algum prazo para a notificação de incidentes de segurança sob a LGPD?,"Sim, a LGPD exige que a Autoridade Nacional de Proteção de Dados (ANPD) e o titular dos dados sejam notificados sobre incidentes de segurança que possam acarretar risco ou dano relevante aos titulares em um prazo razoável, que pode ser especificado pela ANPD.",1
Como a LGPD trata o uso de dados pessoais para fins de pesquisa científica?,"A LGPD prevê a possibilidade de uso de dados pessoais para fins de pesquisa científica, garantindo a proteção dos dados e a privacidade dos titulares. Para tanto, deve-se buscar a anonimização dos dados sempre que possível e garantir a transparência sobre as pesquisas realizadas, além de assegurar que os dados sejam utilizados exclusivamente para fins de pesquisa.",1
Qual a importância do consentimento na coleta de dados de crianças e adolescentes?,"A LGPD estabelece que o tratamento de dados pessoais de crianças e adolescentes deve ser realizado em seu melhor interesse e exige o consentimento específico e em destaque dado por pelo menos um dos pais ou pelo responsável legal. A legislação é rigorosa quanto à coleta e tratamento desses dados, visando proteger os direitos fundamentais de crianças e adolescentes.",1
Como proceder em caso de vazamento de dados pessoais?,"Em caso de vazamento de dados pessoais, a organização responsável pelo tratamento dos dados deve seguir os protocolos de resposta a incidentes, que incluem a notificação imediata à ANPD e aos titulares dos dados afetados, quando houver risco ou dano relevante, além de tomar medidas imediatas para mitigar os danos e evitar novos incidentes.",1
O que é realidade virtual (VR) e quais são suas aplicações?,"Realidade virtual é uma tecnologia que permite aos usuários interagir com ambientes virtuais de forma imersiva, usando dispositivos como óculos de realidade virtual. Suas aplicações incluem jogos, simulações de treinamento, turismo virtual, terapia médica e design de produtos.",0
Qual é a diferença entre clima e tempo?,"O clima refere-se às condições atmosféricas de longo prazo em uma determinada região, enquanto o tempo descreve as condições atmosféricas de curto prazo em um local específico.",0
o que é banco de dados?,,0
O que significa LGPD?,"LGPD é a sigla para Lei Geral de Proteção de Dados, que é uma legislação brasileira que regula as atividades de tratamento de dados pessoais, desde a coleta até a eliminação desses dados, com o objetivo de proteger os direitos fundamentais de liberdade e privacidade, bem como o livre desenvolvimento da personalidade da pessoa natural.

A Lei Geral de Proteção de Dados foi sancionada em 2018 e entrou em vigor em 2020, estabelecendo regras claras sobre como os dados pessoais devem ser tratados, quais os direitos dos titulares desses dados, e quais as responsabilidades das empresas que",1
